 Multi-Channel Level Detector 
 
 Data File Syntax is : 

 Weekday Month Day HH:MM:SS Year : ADC Value 
Tue Jun 18 17:25:49 2019 CH: 0 ADCVal: 0
Tue Jun 18 17:25:50 2019 CH: 0 ADCVal: 0
Tue Jun 18 17:25:51 2019 CH: 0 ADCVal: 0
Tue Jun 18 17:25:52 2019 CH: 0 ADCVal: 0
Tue Jun 18 17:25:53 2019 CH: 0 ADCVal: 0
Tue Jun 18 17:25:54 2019 CH: 0 ADCVal: 0
Tue Jun 18 17:25:55 2019 CH: 0 ADCVal: 788
Tue Jun 18 17:25:56 2019 CH: 0 ADCVal: 789
Tue Jun 18 17:25:57 2019 CH: 0 ADCVal: 788
Tue Jun 18 17:25:58 2019 CH: 0 ADCVal: 0
Tue Jun 18 17:25:59 2019 CH: 0 ADCVal: 0
Tue Jun 18 17:26:00 2019 CH: 0 ADCVal: 0
Tue Jun 18 17:26:01 2019 CH: 0 ADCVal: 0
Tue Jun 18 17:26:02 2019 CH: 0 ADCVal: 0
Tue Jun 18 17:26:03 2019 CH: 0 ADCVal: 0
Tue Jun 18 17:26:04 2019 CH: 0 ADCVal: 734
Tue Jun 18 17:26:05 2019 CH: 0 ADCVal: 733
Tue Jun 18 17:26:06 2019 CH: 0 ADCVal: 733
Tue Jun 18 17:26:07 2019 CH: 0 ADCVal: 0
Tue Jun 18 17:26:08 2019 CH: 0 ADCVal: 0
Tue Jun 18 17:26:09 2019 CH: 0 ADCVal: 0
Tue Jun 18 17:26:10 2019 CH: 0 ADCVal: 0
Tue Jun 18 17:26:11 2019 CH: 0 ADCVal: 687
Tue Jun 18 17:26:12 2019 CH: 0 ADCVal: 685
Tue Jun 18 17:26:13 2019 CH: 0 ADCVal: 683
Tue Jun 18 17:26:14 2019 CH: 0 ADCVal: 0
Tue Jun 18 17:26:15 2019 CH: 0 ADCVal: 0
Tue Jun 18 17:26:16 2019 CH: 0 ADCVal: 0
Tue Jun 18 17:26:17 2019 CH: 0 ADCVal: 0
Tue Jun 18 17:26:18 2019 CH: 0 ADCVal: 647
Tue Jun 18 17:26:19 2019 CH: 0 ADCVal: 646
Tue Jun 18 17:26:20 2019 CH: 0 ADCVal: 649
Tue Jun 18 17:26:21 2019 CH: 0 ADCVal: 0
Tue Jun 18 17:26:22 2019 CH: 0 ADCVal: 0
Tue Jun 18 17:26:23 2019 CH: 0 ADCVal: 0
Tue Jun 18 17:26:24 2019 CH: 0 ADCVal: 605
Tue Jun 18 17:26:25 2019 CH: 0 ADCVal: 0
Tue Jun 18 17:26:26 2019 CH: 0 ADCVal: 611
Tue Jun 18 17:26:27 2019 CH: 0 ADCVal: 610
Tue Jun 18 17:26:28 2019 CH: 0 ADCVal: 610
Tue Jun 18 17:26:29 2019 CH: 0 ADCVal: 610
Tue Jun 18 17:26:30 2019 CH: 0 ADCVal: 0
Tue Jun 18 17:26:31 2019 CH: 0 ADCVal: 0
Tue Jun 18 17:26:32 2019 CH: 0 ADCVal: 581
Tue Jun 18 17:26:33 2019 CH: 0 ADCVal: 574
Tue Jun 18 17:26:34 2019 CH: 0 ADCVal: 0
Tue Jun 18 17:26:35 2019 CH: 0 ADCVal: 0
Tue Jun 18 17:26:36 2019 CH: 0 ADCVal: 0
Tue Jun 18 17:26:37 2019 CH: 0 ADCVal: 544
Tue Jun 18 17:26:38 2019 CH: 0 ADCVal: 553
Tue Jun 18 17:26:39 2019 CH: 0 ADCVal: 553
Tue Jun 18 17:26:40 2019 CH: 0 ADCVal: 0
Tue Jun 18 17:26:41 2019 CH: 0 ADCVal: 0
Tue Jun 18 17:26:42 2019 CH: 0 ADCVal: 0
Tue Jun 18 17:26:43 2019 CH: 0 ADCVal: 516
Tue Jun 18 17:26:44 2019 CH: 0 ADCVal: 523
Tue Jun 18 17:26:45 2019 CH: 0 ADCVal: 527
Tue Jun 18 17:26:46 2019 CH: 0 ADCVal: 526
Tue Jun 18 17:26:47 2019 CH: 0 ADCVal: 0
Tue Jun 18 17:26:48 2019 CH: 0 ADCVal: 0
Tue Jun 18 17:26:49 2019 CH: 0 ADCVal: 501
Tue Jun 18 17:26:50 2019 CH: 0 ADCVal: 504
Tue Jun 18 17:26:51 2019 CH: 0 ADCVal: 501
Tue Jun 18 17:26:52 2019 CH: 0 ADCVal: 0
Tue Jun 18 17:26:53 2019 CH: 0 ADCVal: 0
Tue Jun 18 17:26:54 2019 CH: 0 ADCVal: 0
Tue Jun 18 17:26:55 2019 CH: 0 ADCVal: 479
Tue Jun 18 17:26:56 2019 CH: 0 ADCVal: 482
Tue Jun 18 17:26:57 2019 CH: 0 ADCVal: 481
Tue Jun 18 17:26:58 2019 CH: 0 ADCVal: 0
Tue Jun 18 17:26:59 2019 CH: 0 ADCVal: 0
Tue Jun 18 17:27:00 2019 CH: 0 ADCVal: 0
Tue Jun 18 17:27:01 2019 CH: 0 ADCVal: 468
Tue Jun 18 17:27:02 2019 CH: 0 ADCVal: 461
Tue Jun 18 17:27:03 2019 CH: 0 ADCVal: 0
Tue Jun 18 17:27:04 2019 CH: 0 ADCVal: 0
Tue Jun 18 17:27:05 2019 CH: 0 ADCVal: 0
Tue Jun 18 17:27:06 2019 CH: 0 ADCVal: 445
Tue Jun 18 17:27:07 2019 CH: 0 ADCVal: 442
Tue Jun 18 17:27:08 2019 CH: 0 ADCVal: 0
Tue Jun 18 17:27:09 2019 CH: 0 ADCVal: 0
Tue Jun 18 17:27:10 2019 CH: 0 ADCVal: 0
Tue Jun 18 17:27:11 2019 CH: 0 ADCVal: 426
Tue Jun 18 17:27:12 2019 CH: 0 ADCVal: 430
Tue Jun 18 17:27:13 2019 CH: 0 ADCVal: 0
Tue Jun 18 17:27:14 2019 CH: 0 ADCVal: 0
Tue Jun 18 17:27:15 2019 CH: 0 ADCVal: 0
Tue Jun 18 17:27:16 2019 CH: 0 ADCVal: 0
Tue Jun 18 17:27:17 2019 CH: 0 ADCVal: 0
Tue Jun 18 17:27:18 2019 CH: 0 ADCVal: 0
Tue Jun 18 17:27:19 2019 CH: 0 ADCVal: 0
Tue Jun 18 17:27:20 2019 CH: 0 ADCVal: 0
Tue Jun 18 17:27:21 2019 CH: 0 ADCVal: 0
Tue Jun 18 17:27:22 2019 CH: 0 ADCVal: 398
Tue Jun 18 17:27:23 2019 CH: 0 ADCVal: 398
Tue Jun 18 17:27:24 2019 CH: 0 ADCVal: 401
Tue Jun 18 17:27:25 2019 CH: 0 ADCVal: 0
Tue Jun 18 17:27:26 2019 CH: 0 ADCVal: 0
Tue Jun 18 17:27:27 2019 CH: 0 ADCVal: 377
Tue Jun 18 17:27:28 2019 CH: 0 ADCVal: 382
Tue Jun 18 17:27:29 2019 CH: 0 ADCVal: 386
Tue Jun 18 17:27:30 2019 CH: 0 ADCVal: 0
Tue Jun 18 17:27:31 2019 CH: 0 ADCVal: 0
Tue Jun 18 17:27:32 2019 CH: 0 ADCVal: 0
Tue Jun 18 17:27:33 2019 CH: 0 ADCVal: 368
Tue Jun 18 17:27:34 2019 CH: 0 ADCVal: 374
Tue Jun 18 17:27:35 2019 CH: 0 ADCVal: 375
Tue Jun 18 17:27:36 2019 CH: 0 ADCVal: 0
Tue Jun 18 17:27:37 2019 CH: 0 ADCVal: 0
Tue Jun 18 17:27:38 2019 CH: 0 ADCVal: 356
Tue Jun 18 17:27:39 2019 CH: 0 ADCVal: 360
Tue Jun 18 17:27:40 2019 CH: 0 ADCVal: 359
Tue Jun 18 17:27:41 2019 CH: 0 ADCVal: 0
Tue Jun 18 17:27:42 2019 CH: 0 ADCVal: 0
Tue Jun 18 17:27:43 2019 CH: 0 ADCVal: 0
Tue Jun 18 17:27:44 2019 CH: 0 ADCVal: 352
Tue Jun 18 17:27:45 2019 CH: 0 ADCVal: 350
Tue Jun 18 17:27:46 2019 CH: 0 ADCVal: 354
Tue Jun 18 17:27:47 2019 CH: 0 ADCVal: 0
Tue Jun 18 17:27:48 2019 CH: 0 ADCVal: 0
Tue Jun 18 17:27:49 2019 CH: 0 ADCVal: 0
Tue Jun 18 17:27:50 2019 CH: 0 ADCVal: 0
Tue Jun 18 17:27:51 2019 CH: 0 ADCVal: 341
Tue Jun 18 17:27:52 2019 CH: 0 ADCVal: 339
Tue Jun 18 17:27:53 2019 CH: 0 ADCVal: 341
Tue Jun 18 17:27:54 2019 CH: 0 ADCVal: 0
Tue Jun 18 17:27:55 2019 CH: 0 ADCVal: 0
Tue Jun 18 17:27:56 2019 CH: 0 ADCVal: 329
Tue Jun 18 17:27:57 2019 CH: 0 ADCVal: 333
Tue Jun 18 17:27:58 2019 CH: 0 ADCVal: 334
Tue Jun 18 17:27:59 2019 CH: 0 ADCVal: 334
Tue Jun 18 17:28:00 2019 CH: 0 ADCVal: 0
